stimuli,trial_type,stimulus_onset,block_type,stimulus_size,stimulus_color,stimulus_duration,cor_res,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,thisRow.t,notes,trial.started,Stimuli.started,Stimuli.stopped,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
[0],cue,0.0,0-back,0.15,red,2.0,None,0,0,0,0,0.3594338893890381,,0.041207075119018555,0.3594338893890381,2.368501901626587,2.348836898803711,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
X,target,2.0,0-back,0.15,white,2.8,left,0,1,1,1,2.368501901626587,,2.3496620655059814,2.368501901626587,5.239404916763306,5.16283106803894,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
+,fixation,4.8,0-back,0.05,white,0.2,None,0,2,2,2,5.239404916763306,,5.163583040237427,5.239404916763306,5.451266050338745,5.429570913314819,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
Q,non-target,5.0,0-back,0.15,white,2.8,right,0,3,3,3,5.451266050338745,,5.430375099182129,5.451266050338745,8.266709089279175,8.244277954101562,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
+,fixation,7.8,0-back,0.05,white,0.2,None,0,4,4,4,8.266709089279175,,8.245167016983032,8.266709089279175,8.483407020568848,8.460561990737915,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
R,non-target,8.0,0-back,0.15,white,2.8,right,0,5,5,5,8.483407020568848,,8.46143388748169,8.483407020568848,11.29888105392456,11.274831056594849,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
+,fixation,10.8,0-back,0.05,white,0.2,None,0,6,6,6,11.29888105392456,,11.275701999664307,11.29888105392456,11.51390790939331,11.491565942764282,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
K,non-target,11.0,0-back,0.15,white,2.8,right,0,7,7,7,11.51390790939331,,11.492500066757202,11.51390790939331,14.326558113098145,14.3054039478302,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
+,fixation,13.8,0-back,0.05,white,0.2,None,0,8,8,8,14.326558113098145,,14.306164979934692,14.326558113098145,14.541985988616943,14.52192497253418,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
X,target,14.0,0-back,0.15,white,2.8,left,0,9,9,9,14.541985988616943,,14.522686004638672,14.541985988616943,17.357418060302734,17.33597993850708,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
+,fixation,16.8,0-back,0.05,white,0.2,None,0,10,10,10,17.357418060302734,,17.336676120758057,17.357418060302734,17.57405996322632,17.552736043930054,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
P,non-target,17.0,0-back,0.15,white,2.8,right,0,11,11,11,17.57405996322632,,17.553514003753662,17.57405996322632,20.39109992980957,20.367291927337646,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
+,fixation,19.8,0-back,0.05,white,0.2,None,0,12,12,12,20.39109992980957,,20.36819291114807,20.39109992980957,20.605418920516968,20.58337903022766,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
