56.5318 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7a8651cadbd0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7a8651cadc30>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7a8651cadf30>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7a8647f8a590>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
56.5319 	EXP 	window1: mouseVisible = True
56.5320 	EXP 	window1: backgroundImage = ''
56.5320 	EXP 	window1: backgroundFit = 'none'
56.5375 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
56.5375 	EXP 	window1: recordFrameIntervals = False
56.6972 	EXP 	window1: recordFrameIntervals = True
56.8808 	EXP 	Screen (0) actual frame rate measured at 60.25Hz
56.8809 	EXP 	window1: recordFrameIntervals = False
56.8836 	EXP 	window1: mouseVisible = False
60.9203 	EXP 	run_experiment: status = STARTED
60.9209 	EXP 	window1: mouseVisible = True
60.9767 	EXP 	Created Stimuli = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='Stimuli', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0378 	EXP 	Imported experiment.csv as conditions, 168 conditions, 8 params
0.0405 	EXP 	Created sequence: sequential, trialTypes=168, nReps=1, seed=None
0.0412 	EXP 	New trial (rep=0, index=0): OrderedDict([('stimuli', [0]), ('trial_type', 'cue'), ('stimulus_onset', 0.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'red'), ('stimulus_duration', 2.0), ('cor_res', None)])
0.3594 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: red, alpha=1.0>
0.3594 	EXP 	Stimuli: height = 1.0
0.3594 	EXP 	Stimuli: height = 1.0
0.3594 	EXP 	Stimuli: height = 1.0
0.3594 	EXP 	Stimuli: text = [0]
0.3594 	EXP 	Stimuli: height = 0.15
0.3594 	EXP 	Stimuli: autoDraw = True
0.3594 	EXP 	Stimuli: height = 0.15
0.3594 	EXP 	Stimuli: height = 0.15
0.3594 	EXP 	Stimuli: height = 0.15
0.3594 	EXP 	Stimuli: text = '[0]'
2.3496 	EXP 	New trial (rep=0, index=1): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 2.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'left')])
2.3685 	EXP 	Stimuli: autoDraw = False
2.3685 	EXP 	Stimuli: autoDraw = False
2.3685 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
2.3685 	EXP 	Stimuli: height = 0.15
2.3685 	EXP 	Stimuli: height = 0.15
2.3685 	EXP 	Stimuli: height = 0.15
2.3685 	EXP 	Stimuli: text = 'X'
2.3685 	EXP 	Stimuli: height = 0.15
2.3685 	EXP 	Stimuli: autoDraw = True
2.3685 	EXP 	Stimuli: height = 0.15
2.3685 	EXP 	Stimuli: height = 0.15
2.3685 	EXP 	Stimuli: height = 0.15
2.3685 	EXP 	Stimuli: text = 'X'
5.1635 	EXP 	New trial (rep=0, index=2): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 4.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
5.2394 	EXP 	Stimuli: autoDraw = False
5.2394 	EXP 	Stimuli: autoDraw = False
5.2394 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
5.2394 	EXP 	Stimuli: height = 0.15
5.2394 	EXP 	Stimuli: height = 0.15
5.2394 	EXP 	Stimuli: height = 0.15
5.2394 	EXP 	Stimuli: text = '+'
5.2394 	EXP 	Stimuli: height = 0.05
5.2394 	EXP 	Stimuli: autoDraw = True
5.2394 	EXP 	Stimuli: height = 0.05
5.2394 	EXP 	Stimuli: height = 0.05
5.2394 	EXP 	Stimuli: height = 0.05
5.2394 	EXP 	Stimuli: text = '+'
5.4303 	EXP 	New trial (rep=0, index=3): OrderedDict([('stimuli', 'Q'), ('trial_type', 'non-target'), ('stimulus_onset', 5.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'right')])
5.4513 	EXP 	Stimuli: autoDraw = False
5.4513 	EXP 	Stimuli: autoDraw = False
5.4513 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
5.4513 	EXP 	Stimuli: height = 0.05
5.4513 	EXP 	Stimuli: height = 0.05
5.4513 	EXP 	Stimuli: height = 0.05
5.4513 	EXP 	Stimuli: text = 'Q'
5.4513 	EXP 	Stimuli: height = 0.15
5.4513 	EXP 	Stimuli: autoDraw = True
5.4513 	EXP 	Stimuli: height = 0.15
5.4513 	EXP 	Stimuli: height = 0.15
5.4513 	EXP 	Stimuli: height = 0.15
5.4513 	EXP 	Stimuli: text = 'Q'
8.2451 	EXP 	New trial (rep=0, index=4): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 7.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
8.2667 	EXP 	Stimuli: autoDraw = False
8.2667 	EXP 	Stimuli: autoDraw = False
8.2667 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
8.2667 	EXP 	Stimuli: height = 0.15
8.2667 	EXP 	Stimuli: height = 0.15
8.2667 	EXP 	Stimuli: height = 0.15
8.2667 	EXP 	Stimuli: text = '+'
8.2667 	EXP 	Stimuli: height = 0.05
8.2667 	EXP 	Stimuli: autoDraw = True
8.2667 	EXP 	Stimuli: height = 0.05
8.2667 	EXP 	Stimuli: height = 0.05
8.2667 	EXP 	Stimuli: height = 0.05
8.2667 	EXP 	Stimuli: text = '+'
8.4614 	EXP 	New trial (rep=0, index=5): OrderedDict([('stimuli', 'R'), ('trial_type', 'non-target'), ('stimulus_onset', 8.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'right')])
8.4834 	EXP 	Stimuli: autoDraw = False
8.4834 	EXP 	Stimuli: autoDraw = False
8.4834 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
8.4834 	EXP 	Stimuli: height = 0.05
8.4834 	EXP 	Stimuli: height = 0.05
8.4834 	EXP 	Stimuli: height = 0.05
8.4834 	EXP 	Stimuli: text = 'R'
8.4834 	EXP 	Stimuli: height = 0.15
8.4834 	EXP 	Stimuli: autoDraw = True
8.4834 	EXP 	Stimuli: height = 0.15
8.4834 	EXP 	Stimuli: height = 0.15
8.4834 	EXP 	Stimuli: height = 0.15
8.4834 	EXP 	Stimuli: text = 'R'
11.2756 	EXP 	New trial (rep=0, index=6): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 10.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
11.2989 	EXP 	Stimuli: autoDraw = False
11.2989 	EXP 	Stimuli: autoDraw = False
11.2989 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
11.2989 	EXP 	Stimuli: height = 0.15
11.2989 	EXP 	Stimuli: height = 0.15
11.2989 	EXP 	Stimuli: height = 0.15
11.2989 	EXP 	Stimuli: text = '+'
11.2989 	EXP 	Stimuli: height = 0.05
11.2989 	EXP 	Stimuli: autoDraw = True
11.2989 	EXP 	Stimuli: height = 0.05
11.2989 	EXP 	Stimuli: height = 0.05
11.2989 	EXP 	Stimuli: height = 0.05
11.2989 	EXP 	Stimuli: text = '+'
11.4924 	EXP 	New trial (rep=0, index=7): OrderedDict([('stimuli', 'K'), ('trial_type', 'non-target'), ('stimulus_onset', 11.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'right')])
11.5139 	EXP 	Stimuli: autoDraw = False
11.5139 	EXP 	Stimuli: autoDraw = False
11.5139 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
11.5139 	EXP 	Stimuli: height = 0.05
11.5139 	EXP 	Stimuli: height = 0.05
11.5139 	EXP 	Stimuli: height = 0.05
11.5139 	EXP 	Stimuli: text = 'K'
11.5139 	EXP 	Stimuli: height = 0.15
11.5139 	EXP 	Stimuli: autoDraw = True
11.5139 	EXP 	Stimuli: height = 0.15
11.5139 	EXP 	Stimuli: height = 0.15
11.5139 	EXP 	Stimuli: height = 0.15
11.5139 	EXP 	Stimuli: text = 'K'
14.3061 	EXP 	New trial (rep=0, index=8): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 13.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
14.3266 	EXP 	Stimuli: autoDraw = False
14.3266 	EXP 	Stimuli: autoDraw = False
14.3266 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
14.3266 	EXP 	Stimuli: height = 0.15
14.3266 	EXP 	Stimuli: height = 0.15
14.3266 	EXP 	Stimuli: height = 0.15
14.3266 	EXP 	Stimuli: text = '+'
14.3266 	EXP 	Stimuli: height = 0.05
14.3266 	EXP 	Stimuli: autoDraw = True
14.3266 	EXP 	Stimuli: height = 0.05
14.3266 	EXP 	Stimuli: height = 0.05
14.3266 	EXP 	Stimuli: height = 0.05
14.3266 	EXP 	Stimuli: text = '+'
14.5226 	EXP 	New trial (rep=0, index=9): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 14.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'left')])
14.5420 	EXP 	Stimuli: autoDraw = False
14.5420 	EXP 	Stimuli: autoDraw = False
14.5420 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
14.5420 	EXP 	Stimuli: height = 0.05
14.5420 	EXP 	Stimuli: height = 0.05
14.5420 	EXP 	Stimuli: height = 0.05
14.5420 	EXP 	Stimuli: text = 'X'
14.5420 	EXP 	Stimuli: height = 0.15
14.5420 	EXP 	Stimuli: autoDraw = True
14.5420 	EXP 	Stimuli: height = 0.15
14.5420 	EXP 	Stimuli: height = 0.15
14.5420 	EXP 	Stimuli: height = 0.15
14.5420 	EXP 	Stimuli: text = 'X'
17.3366 	EXP 	New trial (rep=0, index=10): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 16.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
17.3574 	EXP 	Stimuli: autoDraw = False
17.3574 	EXP 	Stimuli: autoDraw = False
17.3574 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
17.3574 	EXP 	Stimuli: height = 0.15
17.3574 	EXP 	Stimuli: height = 0.15
17.3574 	EXP 	Stimuli: height = 0.15
17.3574 	EXP 	Stimuli: text = '+'
17.3574 	EXP 	Stimuli: height = 0.05
17.3574 	EXP 	Stimuli: autoDraw = True
17.3574 	EXP 	Stimuli: height = 0.05
17.3574 	EXP 	Stimuli: height = 0.05
17.3574 	EXP 	Stimuli: height = 0.05
17.3574 	EXP 	Stimuli: text = '+'
17.5535 	EXP 	New trial (rep=0, index=11): OrderedDict([('stimuli', 'P'), ('trial_type', 'non-target'), ('stimulus_onset', 17.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'right')])
17.5741 	EXP 	Stimuli: autoDraw = False
17.5741 	EXP 	Stimuli: autoDraw = False
17.5741 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
17.5741 	EXP 	Stimuli: height = 0.05
17.5741 	EXP 	Stimuli: height = 0.05
17.5741 	EXP 	Stimuli: height = 0.05
17.5741 	EXP 	Stimuli: text = 'P'
17.5741 	EXP 	Stimuli: height = 0.15
17.5741 	EXP 	Stimuli: autoDraw = True
17.5741 	EXP 	Stimuli: height = 0.15
17.5741 	EXP 	Stimuli: height = 0.15
17.5741 	EXP 	Stimuli: height = 0.15
17.5741 	EXP 	Stimuli: text = 'P'
