stimuli,trial_type,stimulus_onset,block_type,stimulus_size,stimulus_duration,cor_res,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,thisRow.t,notes,trial.started,Stimuli.started,Stimuli.stopped,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
png,cue,0.0,cue,0.2,2.0,None,0,0,0,0,0.34332990646362305,,0.03744101524353027,0.34332990646362305,2.4198310375213623,2.338231086730957,215757,001,2024-04-15_14h22.41.289,run_experiment,2023.2.3,60.00709617607673,2024-04-15 14h22.48.853860 +0200,
U,non-target,2.0,0-back,0.3,2.8,right,0,1,1,1,2.4198310375213623,,2.339020013809204,2.4198310375213623,5.295083999633789,5.219125986099243,215757,001,2024-04-15_14h22.41.289,run_experiment,2023.2.3,60.00709617607673,2024-04-15 14h22.48.853860 +0200,
+,fixation,4.8,0-back,0.1,0.2,None,0,2,2,2,5.295083999633789,,5.219948053359985,5.295083999633789,5.506853103637695,5.485505104064941,215757,001,2024-04-15_14h22.41.289,run_experiment,2023.2.3,60.00709617607673,2024-04-15 14h22.48.853860 +0200,
P,non-target,5.0,0-back,0.3,2.8,right,0,3,3,3,5.506853103637695,,5.486232042312622,5.506853103637695,8.324156045913696,8.30066704750061,215757,001,2024-04-15_14h22.41.289,run_experiment,2023.2.3,60.00709617607673,2024-04-15 14h22.48.853860 +0200,
+,fixation,7.8,0-back,0.1,0.2,None,0,4,4,4,8.324156045913696,,8.301571130752563,8.324156045913696,8.541568994522095,8.517184019088745,215757,001,2024-04-15_14h22.41.289,run_experiment,2023.2.3,60.00709617607673,2024-04-15 14h22.48.853860 +0200,
T,non-target,8.0,0-back,0.3,2.8,right,0,5,5,5,8.541568994522095,,8.518085956573486,8.541568994522095,11.354144096374512,11.331236124038696,215757,001,2024-04-15_14h22.41.289,run_experiment,2023.2.3,60.00709617607673,2024-04-15 14h22.48.853860 +0200,
+,fixation,10.8,0-back,0.1,0.2,None,0,6,6,6,11.354144096374512,,11.332149028778076,11.354144096374512,11.572221994400024,11.547760009765625,215757,001,2024-04-15_14h22.41.289,run_experiment,2023.2.3,60.00709617607673,2024-04-15 14h22.48.853860 +0200,
X,target,11.0,0-back,0.3,2.8,left,0,7,7,7,11.572221994400024,,11.54870891571045,11.572221994400024,14.386688947677612,14.36279010772705,215757,001,2024-04-15_14h22.41.289,run_experiment,2023.2.3,60.00709617607673,2024-04-15 14h22.48.853860 +0200,
+,fixation,13.8,0-back,0.1,0.2,None,0,8,8,8,14.386688947677612,,14.363796949386597,14.386688947677612,14.640912055969238,14.578917026519775,215757,001,2024-04-15_14h22.41.289,run_experiment,2023.2.3,60.00709617607673,2024-04-15 14h22.48.853860 +0200,
Q,non-target,14.0,0-back,0.3,2.8,right,0,9,9,9,14.640912055969238,,14.579914093017578,14.640912055969238,17.455764055252075,17.42655301094055,215757,001,2024-04-15_14h22.41.289,run_experiment,2023.2.3,60.00709617607673,2024-04-15 14h22.48.853860 +0200,
