10.5592 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7dd975dad780>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7dd975dad7e0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7dd975dadae0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7dd974101ea0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.5593 	EXP 	window1: mouseVisible = True
10.5594 	EXP 	window1: backgroundImage = ''
10.5594 	EXP 	window1: backgroundFit = 'none'
10.5647 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.5647 	EXP 	window1: recordFrameIntervals = False
10.7247 	EXP 	window1: recordFrameIntervals = True
10.9082 	EXP 	Screen (0) actual frame rate measured at 60.01Hz
10.9083 	EXP 	window1: recordFrameIntervals = False
10.9109 	EXP 	window1: mouseVisible = False
14.9554 	EXP 	run_experiment: status = STARTED
14.9560 	EXP 	window1: mouseVisible = True
15.0153 	EXP 	Created Stimuli = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='Stimuli', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0340 	EXP 	Imported experiment.csv as conditions, 168 conditions, 7 params
0.0367 	EXP 	Created sequence: sequential, trialTypes=168, nReps=1, seed=None
0.0374 	EXP 	New trial (rep=0, index=0): OrderedDict([('stimuli', 'png'), ('trial_type', 'cue'), ('stimulus_onset', 0.0), ('block_type', 'cue'), ('stimulus_size', 0.2), ('stimulus_duration', 2.0), ('cor_res', None)])
0.3433 	EXP 	Stimuli: height = 1.0
