16.4072 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7a9b9d2956c0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7a9b9d295720>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7a9b9d295a20>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7a9b7ab72080>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
16.4074 	EXP 	window1: mouseVisible = True
16.4074 	EXP 	window1: backgroundImage = ''
16.4075 	EXP 	window1: backgroundFit = 'none'
16.4133 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
16.4134 	EXP 	window1: recordFrameIntervals = False
16.5725 	EXP 	window1: recordFrameIntervals = True
16.7563 	EXP 	Screen (0) actual frame rate measured at 59.93Hz
16.7564 	EXP 	window1: recordFrameIntervals = False
16.7591 	EXP 	window1: mouseVisible = False
20.6049 	EXP 	run_experiment: status = STARTED
20.6055 	EXP 	window1: mouseVisible = True
20.6557 	EXP 	Created Stimuli = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='Stimuli', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0340 	EXP 	Imported experiment.csv as conditions, 168 conditions, 8 params
0.0365 	EXP 	Created sequence: sequential, trialTypes=168, nReps=1, seed=None
0.0371 	EXP 	New trial (rep=0, index=0): OrderedDict([('stimuli', 'png'), ('trial_type', 'cue'), ('stimulus_onset', 0.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'red'), ('stimulus_duration', 2.0), ('cor_res', None)])
0.3553 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: red, alpha=1.0>
0.3553 	EXP 	Stimuli: height = 1.0
0.3553 	EXP 	Stimuli: height = 1.0
0.3553 	EXP 	Stimuli: height = 1.0
0.3553 	EXP 	Stimuli: text = 'png'
0.3553 	EXP 	Stimuli: height = 0.15
0.3553 	EXP 	Stimuli: autoDraw = True
0.3553 	EXP 	Stimuli: height = 0.15
0.3553 	EXP 	Stimuli: height = 0.15
0.3553 	EXP 	Stimuli: height = 0.15
0.3553 	EXP 	Stimuli: text = 'png'
2.3465 	EXP 	New trial (rep=0, index=1): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 2.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'left')])
2.3679 	EXP 	Stimuli: autoDraw = False
2.3679 	EXP 	Stimuli: autoDraw = False
2.3679 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
2.3679 	EXP 	Stimuli: height = 0.15
2.3679 	EXP 	Stimuli: height = 0.15
2.3679 	EXP 	Stimuli: height = 0.15
2.3679 	EXP 	Stimuli: text = 'X'
2.3679 	EXP 	Stimuli: height = 0.15
2.3679 	EXP 	Stimuli: autoDraw = True
2.3679 	EXP 	Stimuli: height = 0.15
2.3679 	EXP 	Stimuli: height = 0.15
2.3679 	EXP 	Stimuli: height = 0.15
2.3679 	EXP 	Stimuli: text = 'X'
5.1612 	EXP 	New trial (rep=0, index=2): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 4.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
5.2529 	EXP 	Stimuli: autoDraw = False
5.2529 	EXP 	Stimuli: autoDraw = False
5.2529 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
5.2529 	EXP 	Stimuli: height = 0.15
5.2529 	EXP 	Stimuli: height = 0.15
5.2529 	EXP 	Stimuli: height = 0.15
5.2529 	EXP 	Stimuli: text = '+'
5.2529 	EXP 	Stimuli: height = 0.05
5.2529 	EXP 	Stimuli: autoDraw = True
