20.2073 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x764d587910c0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x764d58791120>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x764d58791420>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x764d49f757e0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
20.2074 	EXP 	window1: mouseVisible = True
20.2075 	EXP 	window1: backgroundImage = ''
20.2075 	EXP 	window1: backgroundFit = 'none'
20.2122 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
20.2123 	EXP 	window1: recordFrameIntervals = False
20.3728 	EXP 	window1: recordFrameIntervals = True
20.5566 	EXP 	Screen (0) actual frame rate measured at 59.97Hz
20.5567 	EXP 	window1: recordFrameIntervals = False
20.5592 	EXP 	window1: mouseVisible = False
24.4018 	EXP 	run_experiment: status = STARTED
24.4024 	EXP 	window1: mouseVisible = True
24.4567 	EXP 	Created Stimuli = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='Stimuli', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0331 	EXP 	Imported experiment.csv as conditions, 168 conditions, 7 params
0.0356 	EXP 	Created sequence: sequential, trialTypes=168, nReps=1, seed=None
0.0362 	EXP 	New trial (rep=0, index=0): OrderedDict([('stimuli', 'png'), ('trial_type', 'cue'), ('stimulus_onset', 0.0), ('block_type', 'cue'), ('stimulus_size', 0.15), ('stimulus_duration', 2.0), ('cor_res', None)])
0.3362 	EXP 	Stimuli: height = 1.0
0.3362 	EXP 	Stimuli: height = 1.0
0.3362 	EXP 	Stimuli: height = 1.0
0.3362 	EXP 	Stimuli: text = 'png'
0.3362 	EXP 	Stimuli: height = 0.15
0.3362 	EXP 	Stimuli: autoDraw = True
0.3362 	EXP 	Stimuli: height = 0.15
0.3362 	EXP 	Stimuli: height = 0.15
0.3362 	EXP 	Stimuli: height = 0.15
0.3362 	EXP 	Stimuli: text = 'png'
2.3298 	EXP 	New trial (rep=0, index=1): OrderedDict([('stimuli', 'H'), ('trial_type', 'non-target'), ('stimulus_onset', 2.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_duration', 2.8), ('cor_res', 'right')])
2.3498 	EXP 	Stimuli: autoDraw = False
2.3498 	EXP 	Stimuli: autoDraw = False
2.3498 	EXP 	Stimuli: height = 0.15
2.3498 	EXP 	Stimuli: height = 0.15
2.3498 	EXP 	Stimuli: height = 0.15
2.3498 	EXP 	Stimuli: text = 'H'
2.3498 	EXP 	Stimuli: height = 0.15
2.3498 	EXP 	Stimuli: autoDraw = True
2.3498 	EXP 	Stimuli: height = 0.15
2.3498 	EXP 	Stimuli: height = 0.15
2.3498 	EXP 	Stimuli: height = 0.15
2.3498 	EXP 	Stimuli: text = 'H'
5.1439 	EXP 	New trial (rep=0, index=2): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 4.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_duration', 0.2), ('cor_res', None)])
5.2241 	EXP 	Stimuli: autoDraw = False
5.2241 	EXP 	Stimuli: autoDraw = False
5.2241 	EXP 	Stimuli: height = 0.15
5.2241 	EXP 	Stimuli: height = 0.15
5.2241 	EXP 	Stimuli: height = 0.15
5.2241 	EXP 	Stimuli: text = '+'
5.2241 	EXP 	Stimuli: height = 0.05
5.2241 	EXP 	Stimuli: autoDraw = True
5.2241 	EXP 	Stimuli: height = 0.05
5.2241 	EXP 	Stimuli: height = 0.05
5.2241 	EXP 	Stimuli: height = 0.05
5.2241 	EXP 	Stimuli: text = '+'
5.4107 	EXP 	New trial (rep=0, index=3): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 5.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_duration', 2.8), ('cor_res', 'left')])
5.4308 	EXP 	Stimuli: autoDraw = False
5.4308 	EXP 	Stimuli: autoDraw = False
5.4308 	EXP 	Stimuli: height = 0.05
5.4308 	EXP 	Stimuli: height = 0.05
5.4308 	EXP 	Stimuli: height = 0.05
5.4308 	EXP 	Stimuli: text = 'X'
5.4308 	EXP 	Stimuli: height = 0.15
5.4308 	EXP 	Stimuli: autoDraw = True
5.4308 	EXP 	Stimuli: height = 0.15
5.4308 	EXP 	Stimuli: height = 0.15
5.4308 	EXP 	Stimuli: height = 0.15
5.4308 	EXP 	Stimuli: text = 'X'
8.2247 	EXP 	New trial (rep=0, index=4): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 7.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_duration', 0.2), ('cor_res', None)])
8.2461 	EXP 	Stimuli: autoDraw = False
8.2461 	EXP 	Stimuli: autoDraw = False
8.2461 	EXP 	Stimuli: height = 0.15
8.2461 	EXP 	Stimuli: height = 0.15
8.2461 	EXP 	Stimuli: height = 0.15
8.2461 	EXP 	Stimuli: text = '+'
8.2461 	EXP 	Stimuli: height = 0.05
8.2461 	EXP 	Stimuli: autoDraw = True
8.2461 	EXP 	Stimuli: height = 0.05
8.2461 	EXP 	Stimuli: height = 0.05
8.2461 	EXP 	Stimuli: height = 0.05
8.2461 	EXP 	Stimuli: text = '+'
