stimuli,trial_type,stimuli_onset,block_type,stimulus_duration,cor_res
png,cue,0.0,cue,2.0,
X,target,2.0,0-back,2.8,left
+,fixation,4.8,0-back,0.2,
P,non-target,5.0,0-back,2.8,right
+,fixation,7.8,0-back,0.2,
Z,non-target,8.0,0-back,2.8,right
+,fixation,10.8,0-back,0.2,
P,non-target,11.0,0-back,2.8,right
+,fixation,13.8,0-back,0.2,
X,target,14.0,0-back,2.8,left
+,fixation,16.8,0-back,0.2,
E,non-target,17.0,0-back,2.8,right
+,fixation,19.8,0-back,0.2,
X,target,20.0,0-back,2.8,left
+,fixation,22.8,0-back,0.2,
X,target,23.0,0-back,2.8,left
+,fixation,25.8,0-back,0.2,
R,non-target,26.0,0-back,2.8,right
+,fixation,28.8,0-back,0.2,
X,target,29.0,0-back,2.8,left
+,rest,31.8,rest,10.0,
png,cue,41.8,cue,2.0,
H,non-target,43.8,1-back,2.8,right
+,fixation,46.599999999999994,1-back,0.2,
E,non-target,46.8,1-back,2.8,right
+,fixation,49.599999999999994,1-back,0.2,
K,non-target,49.8,1-back,2.8,right
+,fixation,52.599999999999994,1-back,0.2,
K,target,52.8,1-back,2.8,left
+,fixation,55.599999999999994,1-back,0.2,
R,non-target,55.8,1-back,2.8,right
+,fixation,58.599999999999994,1-back,0.2,
R,target,58.8,1-back,2.8,left
+,fixation,61.599999999999994,1-back,0.2,
R,target,61.8,1-back,2.8,left
+,fixation,64.6,1-back,0.2,
R,target,64.8,1-back,2.8,left
+,fixation,67.6,1-back,0.2,
Q,non-target,67.8,1-back,2.8,right
+,fixation,70.6,1-back,0.2,
Q,target,70.8,1-back,2.8,left
+,rest,73.6,rest,10.0,
png,cue,83.6,cue,2.0,
P,non-target,85.6,0-back,2.8,right
+,fixation,88.39999999999999,0-back,0.2,
E,non-target,88.6,0-back,2.8,right
+,fixation,91.39999999999999,0-back,0.2,
E,non-target,91.6,0-back,2.8,right
+,fixation,94.39999999999999,0-back,0.2,
U,non-target,94.6,0-back,2.8,right
+,fixation,97.39999999999999,0-back,0.2,
X,target,97.6,0-back,2.8,left
+,fixation,100.39999999999999,0-back,0.2,
X,target,100.6,0-back,2.8,left
+,fixation,103.39999999999999,0-back,0.2,
H,non-target,103.6,0-back,2.8,right
+,fixation,106.39999999999999,0-back,0.2,
X,target,106.6,0-back,2.8,left
+,fixation,109.39999999999999,0-back,0.2,
X,target,109.6,0-back,2.8,left
+,fixation,112.39999999999999,0-back,0.2,
X,target,112.6,0-back,2.8,left
+,rest,115.39999999999999,rest,10.0,
png,cue,125.39999999999999,cue,2.0,
E,non-target,127.39999999999999,1-back,2.8,right
+,fixation,130.2,1-back,0.2,
E,target,130.39999999999998,1-back,2.8,left
+,fixation,133.2,1-back,0.2,
E,target,133.39999999999998,1-back,2.8,left
+,fixation,136.2,1-back,0.2,
U,non-target,136.39999999999998,1-back,2.8,right
+,fixation,139.2,1-back,0.2,
T,non-target,139.39999999999998,1-back,2.8,right
+,fixation,142.2,1-back,0.2,
H,non-target,142.39999999999998,1-back,2.8,right
+,fixation,145.2,1-back,0.2,
H,target,145.39999999999998,1-back,2.8,left
+,fixation,148.2,1-back,0.2,
Z,non-target,148.39999999999998,1-back,2.8,right
+,fixation,151.2,1-back,0.2,
Z,target,151.39999999999998,1-back,2.8,left
+,fixation,154.2,1-back,0.2,
Z,target,154.39999999999998,1-back,2.8,left
+,rest,157.2,rest,10.0,
png,cue,167.2,cue,2.0,
X,target,169.2,0-back,2.8,left
+,fixation,172.0,0-back,0.2,
T,non-target,172.2,0-back,2.8,right
+,fixation,175.0,0-back,0.2,
Q,non-target,175.2,0-back,2.8,right
+,fixation,178.0,0-back,0.2,
X,target,178.2,0-back,2.8,left
+,fixation,181.0,0-back,0.2,
K,non-target,181.2,0-back,2.8,right
+,fixation,184.0,0-back,0.2,
X,target,184.2,0-back,2.8,left
+,fixation,187.0,0-back,0.2,
T,non-target,187.2,0-back,2.8,right
+,fixation,190.0,0-back,0.2,
R,non-target,190.2,0-back,2.8,right
+,fixation,193.0,0-back,0.2,
X,target,193.2,0-back,2.8,left
+,fixation,196.0,0-back,0.2,
X,target,196.2,0-back,2.8,left
+,rest,199.0,rest,10.0,
png,cue,209.0,cue,2.0,
R,non-target,211.0,1-back,2.8,right
+,fixation,213.8,1-back,0.2,
